"Policy","Num_Configuraciones","Pasadas","Fallidas","Porcentaje_Pasadas"
"no_docker_sock_mount",88,88,0,100
"no_privileged_containers",88,88,0,100
"no_root",88,0,88,0
"no_sysadmin_capability",88,88,0,100
"no_sysmodule_capability",88,88,0,100
"tagNotSpecified",88,76,12,86.36
"use_high_gid",88,0,88,0
"use_high_uid",88,0,88,0
"Disallow_Default_Namespace",86,64,22,74.42
"no_host_network",65,65,0,100
"no_host_pid",65,65,0,100
"no_shared_ipc_namespace",65,65,0,100
"Require_Multiple_Replicas",61,13,48,21.31
"Restrict_Auto_Mount_of_Service_Account_Tokens_in_Service_Account",47,47,0,100
"Restrict_Binding_System_Groups",45,45,0,100
"Restrict_Binding_to_Cluster_Admin",45,41,4,91.11
"Block_Ephemeral_Containers",23,23,0,100
"Check_Environment_Variables",23,23,0,100
"Check_supplementalGroups",23,0,23,0
"Disallow_CRI_socket_mounts",23,23,0,100
"Disallow_Host_Namespaces",23,23,0,100
"Disallow_Privilege_Escalation",23,23,0,100
"Disallow_Privileged_Containers",23,23,0,100
"Disallow_Secrets_from_Env_Vars",23,23,0,100
"Disallow_all_Secrets",23,23,0,100
"Disallow_hostPath",23,23,0,100
"Disallow_hostPorts",23,23,0,100
"Disallow_hostProcess",23,23,0,100
"Disallow_procMount",23,23,0,100
"Prevent_cr8escape_CVE_2022_0811",23,23,0,100
"Require_Container_Port_Names",23,10,13,43.48
"Require_Non_Root_Groups",23,0,23,0
"Require_Pod_priorityClassName",23,23,0,100
"Require_Read_Only_Root_Filesystem",23,0,23,0
"Require_Run_As_ContainerUser_Windows",23,23,0,100
"Require_Run_As_Non_Root_User",23,0,23,0
"Require_imagePullPolicy_Always",23,0,23,0
"Restrict_Auto_Mount_of_Service_Account_Tokens",23,23,0,100
"Restrict_Node_Affinity",23,23,0,100
"Restrict_control_plane_scheduling",23,23,0,100
"Restrict_node_selection",23,23,0,100
"Restrict_sysctls",23,23,0,100
"Validate_User_ID_Group_ID_and_FS_Group",23,0,23,0
"no_auto_mount_service_token",23,23,0,100
"topologySpreadConstraint",23,0,23,0
"Deny_Secret_Service_Account_Token_Type",20,20,0,100
"Disallow_Localhost_ExternalName_Services",8,0,8,0
"Disallow_NodePort",8,8,0,100
"Disallow_Service_Type_LoadBalancer",8,8,0,100
"Restrict_External_IPs",8,8,0,100
"Restrict_Service_Port_Range",8,0,8,0
"Require_StorageClass",4,4,0,100
"Limit_hostPath_PersistentVolumes_to_Specific_Directories",3,0,3,0
"Enforce_ReadWriteOncePod",2,0,2,0
